state,x,y
Abia,-50,-210
Adamawa,220,30
Akwa Ibom,-20,-260
Anambra,-80,-170
Bauchi,100,70
Bayelsa,-150,-260
Benue,0,-100
Borno,280,180
Cross River,0,-200
Delta,-150,-220
Ebonyi,-20,-160
Edo,-165,-160
Ekiti,-190,-75
Enugu,-60,-140
Abuja,-80,0
Gombe,160,70
Imo,-90,-210
Jigawa,50,200
Kaduna,-50,70
Kano,10,160
Katsina,-50,200
Kebbi,-260,150
Kogi,-100,-80
Kwara,-210,-40
Lagos,-280,-150
Nasarawa,0,-40
Niger,-210,50
Ogun,-280,-130
Ondo,-200,-120
Osun,-240,-100
Oyo,-290,-55
Plateau,90,0
Rivers,-90,-260
Sokoto,-200,220
Taraba,160,-20
Yobe,190,180
Zamfara,-150,180
